Copyright Central Council of Church Bell Ringers, December 2011
Treble Place Minor methods
(treble's path 1 1    2 2    3  4 3  4 5  6 5  6 6)

No.	Name	Notation	hl	le	lh	RW ref

16627	Blaxhall	1234-1234.16-12-16-12-	16	16	m	06/694

Treble Place Minor methods
           (treble's path 1 2  1  2  3  3    4  4    5    6  5  6  6)

No.	Name	Notation	hl	le	lh	Tower bells	Place	RW ref
16998	Margaret	-36-16-16-1256-16-	34	16	l			97/1106 1159
16999	Duke of Edinburgh	-36-16-16-1256-36-	36	16	m			98/123 167
17000	Horbury	-36-16-16-1456-16-	36	12	a			65/379
17001	Bodiam	-36-16-16-3456-16-	36	12	b			97/1106 1159
17002	Brede	-36-16-16-3456-16-	36	16	g			97/1106 1159
17003	Sturry	-36-16-16-3456-36-	34	16	m			95/696
17004	Sarah	-36-16-16.34.1256.34.16-	34	12	f			97/1107 1159
17005	Joanna	-36-16-16.34.1256.34.16-	34	16	l			97/1107 1159
17006	Golden Wedding	-36-16-36-1236-36-	34	12	e	2004-04-25	Pettistree	98/123 167 04/495
17007	Queen Elizabeth II	-36-16-36-1236-36-	34	16	h	2006-06-18	Monewden	98/123 167 06/717
17008	Britannia	-36-16-36-1256-16-	34	12	a			98/123 217
17009	Whisky	-36-16-36-1456-36-	34	12	f			97/880 887
17010	Felix	-36-16-36-1456-36-	34	16	l			97/880 887
17011	Ruby	-36-16-36-3456-16-	34	16	m			98/947 1075
17012	Gasherbrum IV	-56-14-1236-3456-1236-	34	16	134625			02/627 04/91
17013	Moss	-56-14-1236-3456-1236-	36	12	f			01/144
17014	Crystal Wedding	-56-14-1236-3456-1236-	36	16	l			01/835 894
17015	Jannu	-56-14-16-1456-16-	34	12	b			03/1100
17016	Kangbachen	-56-14-16-1456-16-	34	16	g			03/1100
17017	Gasherbrum I	-56-14-36-1236-36-	36	12	f			03/1005 04/91
17018	Fabian	-56-14-36-1236-36-	36	16	l			02/197
17019	Everest	-56-14-36-3456-36-	34	16	134625			01/831 894
17020	Remembrance Sunday	-56-14-36-3456-36-	36	12	f			01/166
17021	Gasherbrum II	-56-14-36.12.3456.12.36-	34	16	134625			02/627 04/91
17022	Annapurna	-56-1456-1236-3456-1236-	34	16	134625			02/61
17023	Rachel	-56-1456-1236-3456-1236-	36	12	142563			01/144
17024	Evelyn	-56-1456-16-1456-36-	36	12	154632			03/859
17025	90th Birthday	-56-1456-16-1456-36-	36	16	165243			03/859
17026	Rakaposhi	-56-1456-36-1456-16-	34	12	154632			03/691
17027	Prince William	-56-1456-36-1456-16-	34	16	165243			03/691
17028	K2	-56-1456-36-3456-36-	34	16	134625			01/831 894
17029	Broad Peak	-56-1456-36.12.3456.12.36-	34	16	134625			02/61
17030	Mount Erebus	-56-16-1236-1256-1236-	36	12	f			03/764
17031	Mount Terror	-56-16-1236-1256-1236-	36	16	l			03/764
17032	New Century	-56-16-1236-3456-1236-	34	16	l			01/1001
17033	Corpus Christi	-56-16-16-1456-36-	34	16	m			03/691
17034	John Paul II	-56-16-36-1256-16-	34	12	e			03/1123
17035	Silver Jubilee	-56-16-36-1256-16-	34	16	h			03/1123
17036	Aurora	-56-16-36-3456-36-	34	16	l			01/1001
17037	Thomas William's Birthday	34-34.16-1236-1236-1236-	36	16	l			01/250
17038	Dunkeld	34-34.16-1236-1256-1236-	34	12	f	2006-04-23	Dunkeld	06/450
17039	Andrew	34-34.16-16-1236-36-	34	12	b			97/1106 1159
17040	Paul	34-34.16-16-1236-36-	34	16	g			97/1106 1159
17041	Claudio	34-34.16-16-1256-16-	34	12	a			98/115 123
17042	Ashburnham	34-34.16-16-3456-16-	34	12	e			97/1107 1159
17043	Beckley	34-34.16-16-3456-16-	34	16	h			97/1107 1159
17044	Gianluca	34-34.16-16.34.1256.34.16-	34	12	a			98/115 123
17045	Kurt	34-34.16-36-1236-36-	36	12	f			98/114 123
17046	Stanley	34-34.16-36-1236-36-	36	16	l			98/114 123
17047	Frant	34-34.16-36-1256-36-	34	12	f			97/1159 1173
17048	Hellingly	34-34.16-36-1256-36-	34	16	l			97/1159 1173
17049	Ridge	34-34.16-36-1456-16-	36	16	m	1998-10-04	Ridge	98/1109
17050	Thomas Dixon	34-34.16-36-3456-36-	36	12	f			88/1128
17051	Eiger	34-34.16-36-3456-36-	36	16	l			98/123 217
17052	Monch	34-34.16-36.12.3456.12.36-	36	12	f			98/123 217
17053	Jungfrau	34-34.16-36.12.3456.12.36-	36	16	l			98/123 217
17054	Gyachung Kang	34-36.14-1236-1256-1236-	36	12	f			04/1149 05/456
17055	Rome	34-36.14-1236-3456-1236-	34	12	f			04/1078
17056	Assisi	34-36.14-1236-3456-1236-	34	16	l			04/1078 05/456
17057	Hallowe'en	34-36.14-1236-3456-1236-	36	16	134625			04/1149 05/456
17058	Brincken	34-56.14-1236-1456-1236-	36	12	b			05/20 456
17059	Gebesee	34-56.14-1236-1456-1236-	36	16	g			05/20 456
17060	St Margaret of Scotland	34-56.14-16-1256-16-	34	12	e			05/20
17061	St Cecelia	34-56.14-16-1256-16-	34	16	h			05/20
17062	Istanbul	36-34.16-16-1236-16-	34	12	e			04/718
17063	Giant Sequoia	36-34.16-16-1236-16-	36	12	142563			04/811
17064	Mont Blanc	36-36.14-1236-1236-1236-	34	12	154632			05/165
17065	Monte Rosa	36-36.14-1236-1236-1236-	36	12	b			05/165
17066	Langton by Partney	36-36.14-36-1236-36-	36	12	b			11/1116
17067	Wetterhorn	36-56.14-36-3456-36-	34	12	136245			05/20
17068	Lauberhorn	36-56.14-36-3456-36-	36	12	a			05/20
17069	University College	56-34.16-36-3456-36-	34	12	136245			05/165
17070	Open University	56-34.16-36-3456-36-	36	12	a			05/165 456
17071	Valpariso	56-36.14-16-1236-36-	34	12	f			05/190
17072	Xena	56-36.14-16-1236-36-	36	12	154632			05/190
17073	Ascension	56-56.14-1236-1236-1236-	34	12	f			04/596
17074	Yuletide	56-56.14-1236-1456-1236-	36	12	e			05/190

Treble Place Minor methods
      (treble's path 1 2 3  4 5  6 6    5 4  3 2  1 1)

No.	Name	Notation	hl	le	lh	RW ref

17075	Brocket	-16-16-1256-36-14-	14	12	a	98/85
17076	www.ouscr.org.uk	-16-16-16-16-16-	14	12	136245	02/460
17077	Litton	-16-16-3456-36-14-	14	16	h	06/43

Treble Place Minor methods
(hunt bell's path 2 1 1    2 3  4  3  4  5    6 5  6 6)

No.	Name	Notation	hl	le	lh	RW ref

17078	Eagle	-1236-14-12-36-14-	56	12	526341	07/810
17079	Ruth	-1236-14.12-12.1236-14-	56	12	526341	07/810

Treble Place Minor methods
            (hunt bell's path 2 1 1    2 3  4 3  4 5  6 6    5 5)

No.	Name	Notation	hl	le	lh

17080	Purple Sprouting Broccoli	-1236-14-12-36-1456-	56	12	526341

Treble Place Minor methods
(hunt bell's path 2 1 1  2 3  4 5  6 6  5 4  3 3)

No.	Name	Notation	hl	le	lh	RW ref

17081	St George	-16-14-16-36-16-	36	12	326145	96/594

Treble Place Minor methods
(hunt bell's path 3 2  1 1    2 3  4 5  6 6    5 4  4)

No.	Name	Notation	hl	le	lh	RW ref

17082	Novosibirsk	14-1236-16-36-1236-36.	14	36	643512	00/1093

Little Treble Place Minor methods
           (treble's path 1 2  1 2  3  4 4    3 3)

No.	Name	Notation	hl	le	lh	RW ref

17083	Little Ryburgh Little	34-34.16-1234-	34	12	142563	94/378

Little Treble Place Minor methods
(hunt bell's path 4 5  6  6  5  4  4)

No.	Name	Notation	hl	le	lh	RW ref

17084	Storme Little	16.34.56.14.36.	14	34	631425	10/1016

Non-palindromic Treble Place Minor methods
                        (treble's path 1 2 3  4 5  6 6  5 4  3 2  1 1    2 3  4 5  6 6  5 4  3 2  1 1    2 3  4 5  6 6  5 4  3 2  1 1  2 3  4 5  6 6  5 4  3 2  1 1    2 3  4 5  6 6  5 4  3 2  1 1    2 3  4 5  6 6  5 4  3 2  1 1    2 3  4 5  6 6  5 4  3 2  1 1    2 3  4 5  6 6  5 4  3 2  1 1  2 3  4 5  6 6  5 4  3 2  1 1    2 3  4 5  6 6  5 4  3 2  1 1  2 3  4 5  6 6  5 4  3 2  1 1  2 3  4 5  6 6  5 4  3 2  1 1)

No.	Name	Notation	lh	RW ref

17085	I Can't Believe It's Not Plain Bob	-16-16-16-16-16-1234-16-16-16-16-16-1234-16-16-16-16-16-12-16-16-16-16-16-1234-16-16-16-16-16-1234-16-16-16-16-16-1234-16-16-16-16-16-1234-16-16-16-16-16-12-16-16-16-16-16-1234-16-16-16-16-16-12-16-16-16-16-16-12-16-16-16-16-16-1234	135264	02/1115

Non-palindromic Little Treble Place Minor methods
                (hunt bell's path 2 1 2    1 1    2 2  1 1  2  1  2  2)

No.	Name	Notation	lh	RW ref

17086	S6 under London Little	-3456-1236-12-14.36-36.1234	524631	10/89
17087	S6 under George Orwell Little	-3456-1236-12-14.56-36.1234	521643	10/89
17088	D2 under Dover Little	-3456-16-12-16-36-1234	524631	10/90

Non-palindromic Little Treble Place Minor methods
                    (hunt bell's path 3 4  3 4  4  3 4  3 3    4 4    3 3)

No.	Name	Notation	lh	RW ref

17089	Chieveley over Sedlescombe Little	56-56.14-12-1236-1456-3456	463215	10/89
17090	Chieveley over Cambridge Little	56-56.14-12-36-1456-36	263145	10/89

Non-palindromic twin-hunt Little Treble Place Minor methods
        (hunt bell's path 4 3 2  1 1  2 3  4 4  3 2  1 1  2 3  4 4)

No.	Name	Notation	lh	RW ref

17091	Merton College Little	-16-16-14-14-16-16-16-1234	136425	02/1115


